URL,Size (Bytes),# of Outlinks,Content Type
https://www.latimes.com/california/story/2023-04-24/floodwaters-threaten-to-drown-a-california-city-and-prison,389796,183,text/html
https://www.latimes.com/environment/story/2023-06-14/apache-copper-mine-sacred-land-arizona,420929,181,text/html
https://www.latimes.com/environment/story/2023-01-12/what-is-causing-the-parade-of-storms-battering-california,321967,179,text/html
https://www.latimes.com/california/story/2023-03-16/la-me-mid-march-storm,294255,168,text/html
https://www.latimes.com/coupon-codes/static/shop/42342/logo/New_Project__31_.png?width=200&height=200,4873,0,image/png
https://www.latimes.com/coupon-codes/static/shop/42342/logo/New_Project__31_.png?width=110&height=110,2749,0,image/png
https://www.latimes.com/coupon-codes/static/shop/41742/logo/bloomingdales_logo.png?width=110&height=110,1815,0,image/png
https://www.latimes.com/coupon-codes/static/shop/41742/logo/bloomingdales_logo.png?width=200&height=200,3269,0,image/png
https://www.latimes.com/entertainment-arts/business/newsletter/2021-06-22/wide-shot-california-has-opened-my-local-classic-theater-hasnt-why-sba-the-wide-shot,315350,180,text/html
https://www.latimes.com/entertainment-arts/story/2023-06-17/center-theatre-group-closing-mark-taper-forum-public-dallas-theater,371790,200,text/html
https://www.latimes.com/entertainment-arts/story/2023-06-15/center-theatre-group-programming-pause-staff-layoffs-turmoil,308147,176,text/html
https://www.latimes.com/entertainment-arts/tv/story/2020-12-31/best-movies-tv-shows-2020-theater-relief-hollywood,343458,208,text/html
https://www.latimes.com/archives/blogs/la-at-home/story/2012-06-28/palisades-house-aims-to-make-modern-feel-warm,258982,175,text/html
https://www.latimes.com/archives/blogs/la-at-home/story/2012-07-06/diy-speed-bumps-traffic-control-for-neighborhoods,254965,147,text/html
https://www.latimes.com/archives/blogs/la-at-home/story/2012-07-13/the-scout-whats-new-on-pico-boulevard,253764,166,text/html
https://www.latimes.com/archives/blogs/la-at-home/story/2012-07-03/papalo-in-the-garden-a-wild-summer-cilantro,248295,151,text/html
https://www.latimes.com/archives/blogs/la-at-home/story/2012-07-10/huauzontle-a-mexican-staple-in-l-a-edible-gardens,249044,157,text/html
https://www.latimes.com/archives/blogs/la-at-home/story/2012-07-10/review-insteon-remote-control-led-light-bulb,248824,151,text/html
https://www.latimes.com/archives/blogs/la-at-home/story/2012-07-12/bow-truss-north-hollywood-modern-design-to-go,247149,149,text/html
